ParName   Value   Gradient
S_pars_est[50]      1.01849 -4.69744e-05
S_pars_est[51]     -3.52507  -2.3091e-06
S_pars_est[52]     -3.21507 -1.65784e-06
S_pars_est[53]     -3.14563  1.77405e-05
S_pars_est[54]     -1.83894 -1.73859e-05
S_pars_est[55]    -0.914222  6.55623e-06
S_pars_est[56]    -0.428571 -6.77524e-07
S_pars_est[57]    -0.595777  1.87656e-06
S_pars_est[58]    -0.758771 -7.13401e-06
S_pars_est[59]    -0.822278  2.87229e-06
S_pars_est[60]    -0.923625 -9.61318e-07
S_pars_est[61]    -0.903542  2.62686e-06
S_pars_est[62]    -0.866715 -3.23122e-06
S_pars_est[63]    -0.834463  7.05812e-07
S_pars_est[64]    -0.785627  7.48439e-06
S_pars_est[65]     -0.71577 -4.84802e-07
S_pars_est[66]    -0.626711 -1.26352e-06
S_pars_est[67]    -0.526528   7.3795e-06
S_pars_est[68]    -0.421658   3.4067e-06
S_pars_est[69]    -0.312808  5.13781e-07
S_pars_est[70]    -0.198661  1.74478e-06
S_pars_est[71]   -0.0822158  3.04743e-06
S_pars_est[73]      -4.6645 -2.15611e-05
S_pars_est[74]     -3.85546  -3.7126e-06
S_pars_est[75]     -3.23511  7.77791e-05
S_pars_est[76]     -1.47656   1.6403e-06
S_pars_est[77]    -0.784432  -3.2943e-05
S_pars_est[78]    -0.316498 -3.02962e-05
S_pars_est[79]    -0.359962 -1.48479e-06
S_pars_est[80]    -0.915128  7.41143e-06
S_pars_est[81]    -0.947155  4.06359e-06
S_pars_est[82]     -1.10201  1.35103e-05
S_pars_est[83]     -1.08338 -6.03774e-06
S_pars_est[84]    -0.874577 -4.74658e-06
S_pars_est[85]     -0.82301 -2.25117e-08
S_pars_est[86]    -0.778017  -2.5279e-06
S_pars_est[87]     -0.71089 -1.15471e-07
S_pars_est[88]    -0.623545  3.37748e-06
S_pars_est[89]    -0.524332  9.34938e-06
S_pars_est[90]    -0.420038 -7.44657e-06
S_pars_est[91]    -0.311388  2.90303e-07
S_pars_est[92]    -0.197267  2.14335e-06
S_pars_est[93]   -0.0805671 -7.67013e-07
S_pars_est[95]      4.59101  0.000950528
S_pars_est[96]     0.402779  -5.2958e-05
log_fbar[1]    -0.270723  0.000260078
log_fbar[2]     -5.47516 -0.000340401
log_fdev[1](1)     -1.41112   7.6512e-06
log_fdev[1](2)      -1.8622 -1.06054e-05
log_fdev[1](3)     -1.21375  -3.4867e-05
log_fdev[1](4)    -0.825183 -3.63905e-05
log_fdev[1](5)    -0.656461 -5.19247e-05
log_fdev[1](6)    -0.242784  2.16891e-05
log_fdev[1](7)    -0.201104  2.96743e-05
log_fdev[1](8)    -0.185304 -9.11178e-06
log_fdev[1](9)     0.834403  4.47865e-05
log_fdev[1](10)      0.35711 -1.61409e-05
log_fdev[1](11)     0.597179 -2.87179e-05
log_fdev[1](12)      0.65475 -1.88161e-05
log_fdev[1](13)     0.319951  8.73786e-06
log_fdev[1](14)     0.275817  3.58162e-05
log_fdev[1](15)     0.464088  6.23548e-05
log_fdev[1](16)     0.473889  0.000118678
log_fdev[1](17)      1.00666  0.000227765
log_fdev[1](18)    -0.495406  -5.3763e-05
log_fdev[1](19)    -0.570591 -0.000133457
log_fdev[1](20)   -0.0153476 -0.000180171
log_fdev[1](21)     0.191358 -0.000111629
log_fdev[1](22)    -0.225443  4.61468e-06
log_fdev[1](23)    -0.641602  6.01003e-05
log_fdev[1](24)    -0.756215  8.59258e-05
log_fdev[1](25)    -0.124318  6.95192e-05
log_fdev[1](26)     0.274241 -1.63729e-05
log_fdev[1](27)  -0.00502383 -7.03904e-06
log_fdev[1](28)    -0.343683  0.000116947
log_fdev[1](29)    -0.668332  0.000156994
log_fdev[1](30)    0.0442923  9.75651e-05
log_fdev[1](31)     0.452743   0.00011389
log_fdev[1](32)     0.610091 -1.59707e-05
log_fdev[1](33)      1.04683 -4.84979e-05
log_fdev[1](34)      0.97835 -0.000136692
log_fdev[1](35)     0.478899 -8.66548e-05
log_fdev[1](36)     0.192728  8.48096e-05
log_fdev[1](37)        1.112  3.36837e-05
log_fdev[1](38)     0.235839 -2.31104e-05
log_fdev[1](39)     0.793434 -0.000152076
log_fdev[1](40)    -0.950798   0.00011283
log_fdev[2](1)     0.254922 -2.64288e-06
log_fdev[2](2)    0.0825273 -1.91583e-06
log_fdev[2](3)   -0.0881149 -6.22753e-06
log_fdev[2](4)    -0.234117  1.67339e-06
log_fdev[2](5)     -9.15605 -4.82069e-06
log_fdev[2](6)     -4.98362 -2.23598e-06
log_fdev[2](7)     -5.42157 -5.83026e-06
log_fdev[2](8)     -1.57744  5.79721e-06
log_fdev[2](9)    -0.312291 -4.58301e-06
log_fdev[2](10)      2.16769 -1.19683e-05
log_fdev[2](11)      1.61924 -2.99576e-06
log_fdev[2](12)      1.32268 -2.24408e-05
log_fdev[2](13)      1.22635  -2.3478e-05
log_fdev[2](14)     0.989405 -1.59659e-05
log_fdev[2](15)      1.44735 -1.33892e-05
log_fdev[2](16)     0.741245 -2.08003e-05
log_fdev[2](17)     0.827961 -2.02291e-05
log_fdev[2](18)     0.249072 -1.95436e-05
log_fdev[2](19)     0.470578 -2.56833e-05
log_fdev[2](20)     0.436858 -3.71689e-05
log_fdev[2](21)    0.0907145 -2.26667e-05
log_fdev[2](22)     0.220004 -3.55412e-06
log_fdev[2](23)     0.111475 -7.45945e-06
log_fdev[2](24)     0.138365  1.86662e-06
log_fdev[2](25)      0.89937 -5.70751e-06
log_fdev[2](26)     0.639443 -1.69923e-05
log_fdev[2](27)   -0.0111274   1.2072e-05
log_fdev[2](28)     0.600129  1.09478e-05
log_fdev[2](29)    -0.834317  1.05329e-05
log_fdev[2](30)    -0.403084  1.81823e-05
log_fdev[2](31)    0.0960436  3.64019e-06
log_fdev[2](32)     0.271516 -3.55567e-05
log_fdev[2](33)      1.82685 -3.86802e-05
log_fdev[2](34)      3.02116 -4.29909e-05
log_fdev[2](35)    -0.682687 -1.78212e-05
log_fdev[2](36)    0.0887018 -4.90881e-06
log_fdev[2](37)      1.67395 -1.75842e-05
log_fdev[2](38)     0.416512 -2.79362e-05
log_fdev[2](39)     0.811074 -3.31533e-05
log_fdev[2](40)     0.586741 -2.79874e-05
log_fdev[2](41)   0.00666972 -1.24718e-05
